component_id,closed_px,emitted_px,centroid_row,centroid_col,centroid_lon,centroid_lat,median_distance_to_known_m,assessment
3,18,18,3.0,708.0,-119.1993,40.7038,1212.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
4,184,172,8.47,768.17,-119.128,40.7002,714.1,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
5,94,92,5.2,789.57,-119.1028,40.7036,607.8,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
9,29,24,3.9,1029.21,-118.8193,40.7096,141.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
10,11,11,2.64,1509.0,-118.2515,40.7183,10978.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
15,27,23,3.33,2227.96,-117.4003,40.7237,1676.3,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
19,48,40,5.65,2990.08,-116.4979,40.7213,200.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
20,44,37,3.36,3005.16,-116.48,40.7232,200.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
21,47,38,3.13,3071.77,-116.4011,40.7231,484.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
23,8,8,2.25,3218.5,-116.2274,40.7228,1757.2,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
24,14,14,2.71,3280.5,-116.154,40.7219,7953.2,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
25,81,81,10.15,1085.0,-118.7531,40.705,1526.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
26,29,29,7.0,2491.0,-117.0888,40.7211,3190.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
27,57,57,10.54,2759.46,-116.7709,40.7177,1334.2,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
28,42,38,10.19,2220.67,-117.4089,40.7175,1345.4,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
30,75,71,19.72,780.09,-119.1136,40.6903,922.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
32,29,29,24.0,2695.0,-116.8473,40.7057,1664.3,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
34,113,100,32.85,756.35,-119.1413,40.678,2126.0,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
35,82,72,31.38,1006.76,-118.8452,40.6844,2687.9,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
37,147,124,46.61,3054.67,-116.4217,40.684,223.6,"below 200-closed-px screen; NOT an identified fault; inspect shape, bands and 1m/field data"
